108449035	"足守川／岡山市北区撫川（撫川橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449035"	133.842031000	34.642015000	87308000	"笹ヶ瀬川"	NULL	87308002	"足守川"	3301201	"岡山市"	"岡山県岡山市北区撫川"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449035.jpg"
108449036	"足守川／岡山市北区門前（生石橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449036"	133.807768000	34.693287000	87308000	"笹ヶ瀬川"	NULL	87308002	"足守川"	3301201	"岡山市"	"岡山県岡山市北区門前"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449036.jpg"
108449037	"鴨川／玉野市広岡（広岡桜橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449037"	133.887068000	34.498597000	87603000	"鴨川"	NULL	87603504	"鴨川"	3301204	"玉野市"	"岡山県玉野市長尾"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449037.jpg"
108449038	"倉敷川／倉敷市藤戸町藤戸（藤戸大橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449038"	133.808163000	34.560998000	87600000	"倉敷川"	NULL	87600503	"倉敷川"	3301202	"倉敷市"	"岡山県倉敷市藤戸町藤戸"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449038.jpg"
108449039	"六間川／倉敷市茶屋町（鶴城橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449039"	133.819481000	34.569937000	87600000	"倉敷川"	NULL	87600504	"六間川"	3301202	"倉敷市"	"岡山県倉敷市茶屋町"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449039.jpg"
108449040	"里見川／浅口市金光町占見新田（新御影橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449040"	133.626907000	34.541539000	87602000	"里見川"	NULL	87602507	"里見川"	3301216	"浅口市"	"岡山県浅口市金光町"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449040.jpg"
108449041	"里見川／倉敷市玉島中央町（大正橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449041"	133.667335000	34.545005000	87602000	"里見川"	NULL	87602507	"里見川"	3301202	"倉敷市"	"岡山県倉敷市玉島中央町"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449041.jpg"
108449042	"溜川／倉敷市玉島一丁目（新橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449042"	133.673729000	34.545107000	87605000	"溜川"	NULL	87605001	"溜川"	3301202	"倉敷市"	"岡山県倉敷市玉島一丁目"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449042.jpg"
108449043	"小田川／倉敷市児島味野上（中井戸橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449043"	133.801167000	34.476167000	87191000	"小田川"	NULL	87191001	"小田川"	3301202	"倉敷市"	"岡山県倉敷市児島味野上"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449043.jpg"
108449044	"下村川／倉敷市児島下の町（日本橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449044"	133.821900000	34.480335000	87190000	"下村川"	NULL	87190001	"下村川"	3301202	"倉敷市"	"岡山県倉敷市児島下の町"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449044.jpg"
